"Chr"	"Start"	"End"	"Conc"	"Conc_virus"	"Conc_mock"	"Fold"	"p-value"	"FDR"
"5514"	"chr10"	116787898	116788538	6.38	6.69	5.98	0.71	9.29e-06	0.0026
"31596"	"chr6"	16339037	16339441	4.74	3.91	5.27	-1.36	9.66e-06	0.00268
"23497"	"chr20"	50794537	50795112	6.33	6.74	5.75	0.99	9.72e-06	0.00268
"7081"	"chr11"	73404067	73404384	3.63	2.28	4.32	-2.04	9.92e-06	0.00272
"18025"	"chr19"	3665675	3666344	6.43	6.75	6.03	0.71	1.01e-05	0.00273
"33605"	"chr7"	1432281	1433270	6.69	6.96	6.37	0.59	1.01e-05	0.00273
"37724"	"chr9"	36141415	36141648	3.14	2.14	3.72	-1.58	1.02e-05	0.00273
"16520"	"chr17"	63700540	63700842	3.18	3.88	1.76	2.12	1.03e-05	0.00273
"16572"	"chr17"	65137008	65137478	6.51	6.85	6.07	0.78	1.06e-05	0.00281
"36074"	"chr8"	30812751	30813273	6.18	6.49	5.78	0.71	1.08e-05	0.00281
"33326"	"chr6"	150685945	150686223	3.82	4.53	2.34	2.19	1.08e-05	0.00281
"10686"	"chr13"	99436729	99437368	6.68	6.93	6.37	0.56	1.1e-05	0.00285
"5093"	"chr10"	92848637	92849270	3.49	4.11	2.38	1.73	1.15e-05	0.00295
"14851"	"chr16"	84952230	84952761	5.84	6.22	5.31	0.91	1.16e-05	0.00295
"24965"	"chr22"	44668327	44668821	3.12	3.75	1.97	1.77	1.16e-05	0.00295
"22258"	"chr2"	219737200	219737683	3.58	2.44	4.21	-1.77	1.17e-05	0.00296
"23521"	"chr20"	51800027	51800718	6.32	6.74	5.72	1.02	1.21e-05	0.00303
"19499"	"chr19"	54159439	54159716	3.6	4.22	2.47	1.75	1.21e-05	0.00303
"18846"	"chr19"	38256460	38256832	5.43	5.92	4.66	1.26	1.24e-05	0.00309
"31243"	"chr5"	177382753	177382981	2.77	1.14	3.51	-2.37	1.26e-05	0.00311
"25213"	"chr3"	11236641	11236959	5.61	6.18	4.65	1.54	1.27e-05	0.00311
"30799"	"chr5"	147391877	147392179	3.82	2.8	4.41	-1.61	1.29e-05	0.00313
"6112"	"chr11"	15208665	15209241	6.1	6.4	5.72	0.68	1.29e-05	0.00313
"23150"	"chr20"	35447173	35447549	6.28	6.6	5.88	0.72	1.3e-05	0.00313
"7174"	"chr11"	77101206	77101728	4.08	2.72	4.76	-2.05	1.34e-05	0.0032
"16365"	"chr17"	56592476	56592823	6.06	6.44	5.53	0.91	1.36e-05	0.00325
"35459"	"chr7"	149147094	149147530	6.05	6.41	5.57	0.85	1.39e-05	0.00328
"24622"	"chr22"	30890457	30891126	5.55	4.92	5.99	-1.06	1.46e-05	0.00344
"16367"	"chr17"	56629885	56630200	3.94	2.53	4.64	-2.11	1.51e-05	0.00353
"3617"	"chr1"	224652134	224652606	4.51	3.67	5.03	-1.36	1.52e-05	0.00354
"30465"	"chr5"	132410920	132411284	5.28	5.69	4.71	0.98	1.55e-05	0.00357
"11753"	"chr14"	81170550	81170928	5.42	5.84	4.82	1.03	1.55e-05	0.00357
"14856"	"chr16"	85056302	85056569	3.12	1.64	3.83	-2.19	1.6e-05	0.00366
"14690"	"chr16"	72995179	72995444	3.38	2.11	4.05	-1.94	1.62e-05	0.00369
"3358"	"chr1"	207259415	207259653	3.24	2.18	3.85	-1.67	1.63e-05	0.00369
"13182"	"chr15"	78811527	78812020	6.54	6.94	5.97	0.96	1.71e-05	0.00383
"16213"	"chr17"	48550090	48551074	5.19	5.79	4.15	1.64	1.73e-05	0.00385
"2369"	"chr1"	152013713	152014220	4.44	3.71	4.92	-1.21	1.74e-05	0.00385
"14412"	"chr16"	57535889	57536238	2.31	3.06	0.63	2.43	1.74e-05	0.00385
"13562"	"chr15"	101008348	101008970	6.66	6.97	6.28	0.68	1.76e-05	0.00387
"14277"	"chr16"	48156719	48157104	6.43	6.79	5.95	0.84	1.86e-05	0.00405
"37670"	"chr9"	34701000	34701827	6.8	7.06	6.48	0.58	1.86e-05	0.00405
"6900"	"chr11"	67345661	67346160	5.02	4.44	5.43	-0.99	1.92e-05	0.00415
"18208"	"chr19"	8578599	8579296	6.24	6.57	5.81	0.76	1.94e-05	0.00416
"18923"	"chr19"	40521371	40521603	3.18	1.94	3.83	-1.89	1.95e-05	0.00416
"36447"	"chr8"	70607725	70608679	5.84	6.25	5.27	0.97	1.96e-05	0.00416
"15969"	"chr17"	42024807	42025400	6.32	6.71	5.8	0.91	1.96e-05	0.00416
"34388"	"chr7"	66141003	66141291	3.76	2.41	4.45	-2.03	2.05e-05	0.00432
"9516"	"chr12"	106955940	106956354	3.58	4.15	2.61	1.54	2.07e-05	0.00434
"30694"	"chr5"	141512170	141512842	6.27	6.68	5.69	0.99	2.15e-05	0.00445
"4839"	"chr10"	75395279	75395663	6.06	6.47	5.48	0.99	2.15e-05	0.00445
"5019"	"chr10"	88582929	88583489	5.58	6.02	4.93	1.1	2.15e-05	0.00445
"6999"	"chr11"	70382010	70382292	2.81	1.42	3.51	-2.09	2.19e-05	0.00448
"5375"	"chr10"	104028250	104028477	2.91	2.03	3.45	-1.42	2.2e-05	0.00448
"11710"	"chr14"	77315929	77316271	5.53	5.9	5.04	0.86	2.27e-05	0.00459
"19282"	"chr19"	48291033	48291599	6.44	6.82	5.92	0.9	2.28e-05	0.00459
"30187"	"chr5"	98768842	98769497	5.69	6.04	5.22	0.82	2.28e-05	0.00459
"34810"	"chr7"	101138242	101138661	5.33	5.83	4.56	1.27	2.33e-05	0.00467
"36226"	"chr8"	46917673	46917952	4.39	4.94	3.52	1.42	2.34e-05	0.00467
"38711"	"chr9"	128117539	128118294	7.39	7.63	7.11	0.52	2.37e-05	0.00469
"18067"	"chr19"	4558141	4558689	6.83	7.16	6.42	0.74	2.44e-05	0.00481
"23093"	"chr20"	33416048	33416327	3.68	2.53	4.31	-1.77	2.46e-05	0.00482
"15446"	"chr17"	17570140	17570597	3.77	2.8	4.35	-1.55	2.47e-05	0.00482
"8104"	"chr12"	6278676	6279107	6.09	6.54	5.42	1.12	2.49e-05	0.00482
"24585"	"chr22"	29524528	29524799	2.77	1.29	3.48	-2.19	2.49e-05	0.00482
"23740"	"chr20"	63858958	63859283	3.37	2.14	4.03	-1.89	2.54e-05	0.00489
"25000"	"chr22"	45994608	45995148	6.35	6.67	5.94	0.72	2.56e-05	0.0049
"36324"	"chr8"	57996999	57997302	4.91	3.86	5.51	-1.65	2.59e-05	0.00494
"32182"	"chr6"	43170921	43171574	5.44	5.93	4.69	1.25	2.61e-05	0.00495
"14496"	"chr16"	66608268	66608878	6.38	6.72	5.93	0.79	2.63e-05	0.00497
"14331"	"chr16"	51762131	51762451	6.2	6.49	5.83	0.67	2.65e-05	0.00499
"16235"	"chr17"	48954307	48954544	3.5	2.02	4.21	-2.2	2.68e-05	0.00503
"16681"	"chr17"	73189622	73189872	4.02	2.67	4.71	-2.04	2.73e-05	0.00508
"38770"	"chr9"	130172867	130173193	3.13	3.72	2.11	1.61	2.74e-05	0.00508
"4303"	"chr10"	32004938	32005344	3.42	2.14	4.09	-1.95	2.75e-05	0.00508
"33917"	"chr7"	24820217	24820544	5.28	5.73	4.63	1.1	2.84e-05	0.00521
"23305"	"chr20"	43840475	43840863	3.62	2.32	4.29	-1.98	2.85e-05	0.00521
"33568"	"chr7"	207848	208085	2.4	1.07	3.08	-2.01	2.86e-05	0.00521
"19391"	"chr19"	50133825	50134129	2.7	3.54	0.38	3.16	2.9e-05	0.00524
"6431"	"chr11"	44632755	44633084	3.46	2.02	4.17	-2.15	2.91e-05	0.00524
"19577"	"chr19"	57830031	57830453	4.14	4.64	3.36	1.28	2.97e-05	0.00532
"21871"	"chr2"	190372384	190372691	4.94	5.43	4.18	1.24	2.97e-05	0.00532
"23645"	"chr20"	61229118	61229514	6.45	6.8	5.97	0.83	2.99e-05	0.00532
"10672"	"chr13"	98466666	98467013	4.74	3.73	5.32	-1.59	3.01e-05	0.00534
"35322"	"chr7"	139645782	139646250	5.67	6.06	5.14	0.92	3.04e-05	0.00537
"8709"	"chr12"	50167250	50167537	2.39	3.12	0.84	2.28	3.09e-05	0.00544
"29032"	"chr4"	158729986	158730302	4.53	3.62	5.08	-1.46	3.12e-05	0.00545
"10133"	"chr13"	29924186	29924745	6.29	6.64	5.82	0.82	3.13e-05	0.00545
"2473"	"chr1"	155071010	155071423	4.37	4.85	3.65	1.2	3.18e-05	0.00551
"36515"	"chr8"	78854280	78854597	2.77	1.29	3.49	-2.2	3.27e-05	0.00566
"24763"	"chr22"	37606967	37607447	6.62	6.92	6.23	0.7	3.31e-05	0.00569
"14831"	"chr16"	84144890	84145163	2.43	3.09	1.17	1.92	3.34e-05	0.00571
"24498"	"chr22"	24423510	24424087	6.6	6.96	6.13	0.84	3.36e-05	0.00573
"9892"	"chr12"	124913914	124914244	4.21	4.8	3.18	1.62	3.4e-05	0.00578
"6538"	"chr11"	57131068	57131382	3.74	2.64	4.36	-1.72	3.42e-05	0.00578
"33565"	"chr7"	63841	64332	4.32	3.21	4.94	-1.73	3.5e-05	0.00588
"34496"	"chr7"	76177920	76178477	6.88	7.2	6.48	0.72	3.51e-05	0.00588
"13519"	"chr15"	98647277	98648069	5.63	6.05	5.05	1	3.52e-05	0.00588
"9207"	"chr12"	79373882	79374239	4.56	3.59	5.13	-1.54	3.55e-05	0.0059
"27490"	"chr4"	11561	12435	3.83	4.41	2.87	1.54	3.57e-05	0.0059
"23054"	"chr20"	31725551	31725934	2.74	1.35	3.43	-2.08	3.58e-05	0.0059
"228"	"chr1"	7647268	7647853	6.19	6.55	5.7	0.85	3.61e-05	0.00593
"17916"	"chr19"	1671771	1672591	6.68	6.86	6.46	0.41	3.71e-05	0.00606
"8242"	"chr12"	12334403	12334986	5.42	5.82	4.86	0.96	3.92e-05	0.00639
"14241"	"chr16"	32897794	32898170	2.75	3.43	1.4	2.03	3.97e-05	0.00643
"19578"	"chr19"	57888706	57889233	3.66	4.26	2.63	1.63	3.99e-05	0.00644
"13829"	"chr16"	9092320	9092715	3.05	3.65	2	1.65	4e-05	0.00644
"6942"	"chr11"	68297734	68298228	6.53	6.89	6.06	0.83	4.02e-05	0.00644
"9795"	"chr12"	121624443	121625215	5.79	6.13	5.33	0.8	4.09e-05	0.00652
"27342"	"chr3"	187739889	187740382	6.45	6.76	6.04	0.72	4.1e-05	0.00652
"5713"	"chr10"	132788469	132788694	2.63	1.22	3.33	-2.11	4.16e-05	0.00658
"24981"	"chr22"	45209133	45209671	6.07	6.39	5.65	0.73	4.17e-05	0.00658
"599"	"chr1"	22131698	22132213	5.6	6.01	5.02	0.98	4.21e-05	0.00661
"15456"	"chr17"	17781088	17781306	3.03	1.59	3.74	-2.15	4.22e-05	0.00661
"5985"	"chr11"	9121008	9121285	2.84	1.98	3.37	-1.39	4.34e-05	0.00674
"6729"	"chr11"	63999783	64000724	5.9	6.27	5.41	0.86	4.37e-05	0.00674
"6785"	"chr11"	65027626	65027940	5.05	5.56	4.27	1.29	4.38e-05	0.00674
"24768"	"chr22"	37642954	37643658	6.28	6.62	5.83	0.79	4.4e-05	0.00674
"38990"	"chr9"	137064042	137064699	6.86	7.21	6.4	0.82	4.41e-05	0.00674
"9821"	"chr12"	122190921	122191405	5.28	4.75	5.66	-0.91	4.42e-05	0.00674
"29816"	"chr5"	61817810	61818060	3.6	2.53	4.21	-1.68	4.42e-05	0.00674
"38535"	"chr9"	121169112	121169347	2.73	1.35	3.42	-2.07	4.44e-05	0.00674
"19358"	"chr19"	49677847	49678402	5.35	5.74	4.81	0.93	4.59e-05	0.00691
"1984"	"chr1"	110783342	110783798	6.17	6.51	5.73	0.78	4.59e-05	0.00691
"33289"	"chr6"	148973896	148974183	4.05	2.85	4.7	-1.85	4.61e-05	0.00691
"32180"	"chr6"	43129550	43130214	4.98	4.02	5.56	-1.54	4.64e-05	0.00691
"5578"	"chr10"	121608703	121608956	4.28	4.95	2.99	1.96	4.67e-05	0.00691
"14509"	"chr16"	66909628	66910112	4.32	3.3	4.91	-1.61	4.67e-05	0.00691
"20274"	"chr2"	52416290	52416674	2.32	0.99	3	-2.01	4.67e-05	0.00691
"35209"	"chr7"	131544947	131545371	3.05	2.29	3.55	-1.26	4.83e-05	0.00712
"8814"	"chr12"	53252119	53252472	4.22	4.96	2.59	2.37	4.85e-05	0.00712
"3427"	"chr1"	210374370	210374743	5.68	6.05	5.2	0.85	4.93e-05	0.00721
"12785"	"chr15"	63047981	63048854	6.55	6.87	6.13	0.74	5.02e-05	0.00729
"4413"	"chr10"	44974946	44975463	6.27	6.64	5.76	0.88	5.02e-05	0.00729
"17933"	"chr19"	1864691	1865296	5.73	6.14	5.15	0.99	5.2e-05	0.00751
"10159"	"chr13"	31234806	31235061	2.72	1.42	3.39	-1.98	5.21e-05	0.00751
"34178"	"chr7"	40763879	40764279	3.67	2.7	4.25	-1.55	5.22e-05	0.00751
"35228"	"chr7"	133051103	133051355	2.22	0.99	2.87	-1.89	5.26e-05	0.00753
"13089"	"chr15"	75647651	75648132	5.24	5.64	4.67	0.98	5.28e-05	0.00753
"15199"	"chr17"	5191783	5192241	5.64	6.04	5.07	0.97	5.3e-05	0.00753
"10305"	"chr13"	44574245	44574634	3.74	2.47	4.4	-1.93	5.32e-05	0.00753
"38220"	"chr9"	96218185	96218729	6.32	6.58	5.99	0.59	5.42e-05	0.00764
"1189"	"chr1"	44220275	44220883	3.49	2.02	4.2	-2.18	5.43e-05	0.00764
"15195"	"chr17"	4987108	4987843	6.05	6.42	5.54	0.87	5.45e-05	0.00765
"24479"	"chr22"	24107749	24108403	3.97	2.5	4.68	-2.18	5.5e-05	0.00769
"18396"	"chr19"	13089092	13089621	3.6	2.56	4.2	-1.64	5.62e-05	0.00782
"19413"	"chr19"	50608068	50608366	3.95	4.51	3.01	1.5	5.69e-05	0.00789
"22373"	"chr2"	230762414	230762632	2.87	1.35	3.59	-2.24	5.7e-05	0.00789
"13715"	"chr16"	2721201	2721582	5.79	6.15	5.32	0.83	5.82e-05	0.00798
